#     t_0 (HJD)       u_0    t_E (d)     rho 
# 2458310.77700  0.006689    15.8860 0.00010 
# 
# Data are perfect.
2.458309188399999868e+06 1.454019992976952835e+01 5.428681023790647014e-02
2.458309199026086833e+06 1.453319838523787411e+01 5.428681023790648402e-02
2.458309209652173799e+06 1.452614797148577530e+01 5.428681023790648402e-02
2.458309220278260764e+06 1.451904803639958175e+01 5.428681023790647014e-02
2.458309230904347729e+06 1.451189791472023494e+01 5.428681023790647014e-02
2.458309241530434694e+06 1.450469692768923125e+01 5.428681023790647014e-02
2.458309252156521659e+06 1.449744438268264268e+01 5.428681023790648402e-02
2.458309262782608625e+06 1.449013957283271381e+01 5.428681023790648402e-02
2.458309273408695590e+06 1.448278177663654098e+01 5.428681023790647014e-02
2.458309284034782555e+06 1.447537013009273821e+01 5.428681023790647014e-02
2.458309294660869520e+06 1.446790413426862187e+01 5.428681023790647014e-02
2.458309305286956485e+06 1.446038289562016388e+01 5.428681023790647014e-02
2.458309315913043451e+06 1.445280562991188589e+01 5.428681023790647014e-02
2.458309326539130416e+06 1.444517153610314786e+01 5.428681023790647014e-02
2.458309337165217381e+06 1.443747979586721897e+01 5.428681023790647014e-02
2.458309347791304346e+06 1.442972957309310367e+01 5.428681023790647014e-02
2.458309358417391311e+06 1.442192001336940521e+01 5.428681023790648402e-02
2.458309369043478277e+06 1.441405024344947350e+01 5.428681023790648402e-02
2.458309379669565242e+06 1.440611937069697035e+01 5.428681023790647014e-02
2.458309390295652207e+06 1.439812648251103866e+01 5.428681023790647014e-02
2.458309400921739172e+06 1.439007064573014816e+01 5.428681023790647014e-02
2.458309411547826137e+06 1.438195090601368165e+01 5.428681023790647014e-02
2.458309422173913103e+06 1.437376628720025806e+01 5.428681023790647014e-02
2.458309432800000068e+06 1.436551579064174433e+01 5.428681023790648402e-02
2.458309443426087033e+06 1.435719839451184754e+01 5.428681023790647014e-02
2.458309454052173533e+06 1.434881305345709279e+01 5.428681023790647014e-02
2.458309464678260498e+06 1.434035869637821392e+01 5.428681023790647014e-02
2.458309475304347463e+06 1.433183422785997507e+01 5.428681023790647014e-02
2.458309485930434428e+06 1.432323852589899893e+01 5.428681023790647014e-02
2.458309496556521393e+06 1.431457044143248680e+01 5.428681023790647014e-02
2.458309507182608359e+06 1.430582879746756930e+01 5.428681023790647014e-02
2.458309517808695324e+06 1.429701238817565034e+01 5.428681023790647014e-02
2.458309528434782289e+06 1.428811997795004274e+01 5.428681023790647014e-02
2.458309539060869254e+06 1.427915030042515454e+01 5.428681023790647014e-02
2.458309549686956219e+06 1.427010205745528104e+01 5.428681023790647014e-02
2.458309560313043185e+06 1.426097391805108927e+01 5.428681023790647014e-02
2.458309570939130150e+06 1.425176451727161009e+01 5.428681023790647014e-02
2.458309581565217115e+06 1.424247245506958492e+01 5.428681023790647014e-02
2.458309592191304080e+06 1.423309629508776197e+01 5.428681023790647014e-02
2.458309602817391045e+06 1.422363456340367271e+01 5.428681023790647014e-02
2.458309613443478011e+06 1.421408574722024376e+01 5.428681023790647014e-02
2.458309624069564976e+06 1.420444829349944449e+01 5.428681023790647014e-02
2.458309634695651941e+06 1.419472060753600573e+01 5.428681023790647014e-02
2.458309645321738906e+06 1.418490105146807068e+01 5.428681023790647014e-02
2.458309655947825871e+06 1.417498794272142781e+01 5.428681023790647014e-02
2.458309666573912837e+06 1.416497955238379802e+01 5.428681023790647014e-02
2.458309677199999802e+06 1.415487410350541353e+01 5.428681023790647014e-02
2.458309687826086767e+06 1.414466976932189546e+01 5.428681023790647014e-02
2.458309698452173732e+06 1.413436467139517028e+01 5.428681023790647014e-02
2.458309709078260697e+06 1.412395687766793095e+01 5.428681023790647014e-02
2.458309719704347663e+06 1.411344440042683068e+01 5.428681023790647014e-02
2.458309730330434628e+06 1.410282519416929325e+01 5.428681023790647014e-02
2.458309740956521593e+06 1.409209715336851154e+01 5.428681023790647014e-02
