#     t_0 (HJD)       u_0    t_E (d)     rho 
# 2458310.77700  0.006689    15.8860 0.00010 
# 
# Data are perfect.
2.458151916999999899e+06 1.941617639303861864e+01 1.085736204758129542e-02
2.458152022941980511e+06 1.941617604766000582e+01 1.085736204758129542e-02
2.458152128883961122e+06 1.941617570115387892e+01 1.085736204758129542e-02
2.458152234825941734e+06 1.941617535351583612e+01 1.085736204758129542e-02
2.458152340767922346e+06 1.941617500474145785e+01 1.085736204758129542e-02
2.458152446709903423e+06 1.941617465482629967e+01 1.085736204758129542e-02
2.458152552651884034e+06 1.941617430376589581e+01 1.085736204758129542e-02
2.458152658593864646e+06 1.941617395155576631e+01 1.085736204758129542e-02
2.458152764535845257e+06 1.941617359819140631e+01 1.085736204758129542e-02
2.458152870477825869e+06 1.941617324366829322e+01 1.085736204758129542e-02
2.458152976419806480e+06 1.941617288798187957e+01 1.085736204758129542e-02
2.458153082361787092e+06 1.941617253112760011e+01 1.085736204758129542e-02
2.458153188303767703e+06 1.941617217310086829e+01 1.085736204758129542e-02
2.458153294245748315e+06 1.941617181389707625e+01 1.085736204758129542e-02
2.458153400187728927e+06 1.941617145351160190e+01 1.085736204758129542e-02
2.458153506129710004e+06 1.941617109193978408e+01 1.085736204758129542e-02
2.458153612071690615e+06 1.941617072917696163e+01 1.085736204758129542e-02
2.458153718013671227e+06 1.941617036521844142e+01 1.085736204758129542e-02
2.458153823955651838e+06 1.941617000005950544e+01 1.085736204758129542e-02
2.458153929897632450e+06 1.941616963369541793e+01 1.085736204758129542e-02
2.458154035839613061e+06 1.941616926612142890e+01 1.085736204758129542e-02
2.458154141781593673e+06 1.941616889733275286e+01 1.085736204758129542e-02
2.458154247723574284e+06 1.941616852732459009e+01 1.085736204758129542e-02
2.458154353665554896e+06 1.941616815609211955e+01 1.085736204758129542e-02
2.458154459607535973e+06 1.941616778363049178e+01 1.085736204758129542e-02
2.458154565549516585e+06 1.941616740993484314e+01 1.085736204758129542e-02
2.458154671491497196e+06 1.941616703500028507e+01 1.085736204758129542e-02
2.458154777433477808e+06 1.941616665882190418e+01 1.085736204758129542e-02
2.458154883375458419e+06 1.941616628139476575e+01 1.085736204758129542e-02
2.458154989317439031e+06 1.941616590271391019e+01 1.085736204758129542e-02
2.458155095259419642e+06 1.941616552277435659e+01 1.085736204758129542e-02
2.458155201201400254e+06 1.941616514157110274e+01 1.085736204758129542e-02
2.458155307143380865e+06 1.941616475909912509e+01 1.085736204758129542e-02
2.458155413085361477e+06 1.941616437535336459e+01 1.085736204758129542e-02
2.458155519027342554e+06 1.941616399032875506e+01 1.085736204758129542e-02
2.458155624969323166e+06 1.941616360402020192e+01 1.085736204758129542e-02
2.458155730911303777e+06 1.941616321642257859e+01 1.085736204758129542e-02
2.458155836853284389e+06 1.941616282753074074e+01 1.085736204758129542e-02
2.458155942795265000e+06 1.941616243733952629e+01 1.085736204758129542e-02
2.458156048737245612e+06 1.941616204584373762e+01 1.085736204758129542e-02
2.458156154679226223e+06 1.941616165303815933e+01 1.085736204758129542e-02
2.458156260621206835e+06 1.941616125891755473e+01 1.085736204758129542e-02
2.458156366563187446e+06 1.941616086347665160e+01 1.085736204758129542e-02
2.458156472505168058e+06 1.941616046671017060e+01 1.085736204758129542e-02
2.458156578447149135e+06 1.941616006861278620e+01 1.085736204758129542e-02
2.458156684389129747e+06 1.941615966917916936e+01 1.085736204758129542e-02
2.458156790331110358e+06 1.941615926840395190e+01 1.085736204758129542e-02
2.458156896273090970e+06 1.941615886628174792e+01 1.085736204758129542e-02
2.458157002215071581e+06 1.941615846280713953e+01 1.085736204758129542e-02
2.458157108157052193e+06 1.941615805797469108e+01 1.085736204758129542e-02
2.458157214099032804e+06 1.941615765177893849e+01 1.085736204758129542e-02
2.458157320041013416e+06 1.941615724421438571e+01 1.085736204758129542e-02
2.458157425982994027e+06 1.941615683527552250e+01 1.085736204758129542e-02
2.458157531924975105e+06 1.941615642495680305e+01 1.085736204758129542e-02
2.458157637866955716e+06 1.941615601325266738e+01 1.085736204758129542e-02
2.458157743808936328e+06 1.941615560015751285e+01 1.085736204758129542e-02
2.458157849750916939e+06 1.941615518566572263e+01 1.085736204758129542e-02
2.458157955692897551e+06 1.941615476977165500e+01 1.085736204758129542e-02
2.458158061634878162e+06 1.941615435246962917e+01 1.085736204758129542e-02
2.458158167576858774e+06 1.941615393375395016e+01 1.085736204758129542e-02
2.458158273518839385e+06 1.941615351361889097e+01 1.085736204758129542e-02
2.458158379460819997e+06 1.941615309205869622e+01 1.085736204758129542e-02
2.458158485402800608e+06 1.941615266906758563e+01 1.085736204758129542e-02
2.458158591344781686e+06 1.941615224463975053e+01 1.085736204758129542e-02
